Level,Title,Page Number,Parent Title,Keywords,Filtered_Keywords
0,PART ONE OVERVIEW,29,Contents,"[('software', 0.4914), ('computer', 0.4831), ('hardware', 0.4735), ('anoperating', 0.4298), ('makeup', 0.3631)]","['software', 'computer', 'hardware']"
1,Chapter 1 Introduction,31,PART ONE OVERVIEW,"[('personalcomputers', 0.5907), ('enterprisecomputers', 0.5866), ('inordertoexploretheroleofanoperatingsysteminamoderncomputing', 0.5631), ('multiprocessor', 0.504), ('computer', 0.4956)]","['personalcomputers', 'enterprisecomputers', 'inordertoexploretheroleofanoperatingsysteminamoderncomputing', 'multiprocessor', 'computer']"
2,1.1 What Operating Systems Do,32,Chapter 1 Introduction,"[('overallcomputersystem', 0.7), ('hardwareandcoordinatesitsuseamongthevariousapplicationprogramsfor', 0.6394), ('operatingsystemsfromtwoviewpoints', 0.616), ('computing', 0.5819), ('compilers', 0.5611)]","['overallcomputersystem', 'hardwareandcoordinatesitsuseamongthevariousapplicationprogramsfor', 'operatingsystemsfromtwoviewpoints', 'computing', 'compilers']"
3,1.1.1 User View,32,1.1 What Operating Systems Do,"[('overallcomputersystem', 0.7), ('hardwareandcoordinatesitsuseamongthevariousapplicationprogramsfor', 0.6394), ('operatingsystemsfromtwoviewpoints', 0.616), ('computing', 0.5819), ('compilers', 0.5611)]","['overallcomputersystem', 'hardwareandcoordinatesitsuseamongthevariousapplicationprogramsfor', 'operatingsystemsfromtwoviewpoints', 'computing', 'compilers']"
3,1.1.2 System View,33,1.1.1 User View,"[('manyusersinteractwithmobiledevicessuchassmartphones', 0.6406), ('cellularorotherwirelesstechnologies', 0.5753), ('devicesthatarereplacingdesktopandlaptopcomputersystems', 0.5268), ('somecomputershavelittleornouserview', 0.5116), ('turnindicatorlightsonorofftoshowstatus', 0.4865)]","['manyusersinteractwithmobiledevicessuchassmartphones', 'cellularorotherwirelesstechnologies', 'devicesthatarereplacingdesktopandlaptopcomputersystems', 'somecomputershavelittleornouserview', 'turnindicatorlightsonorofftoshowstatus']"
3,1.1.3 Defining Operating Systems,33,1.1.2 System View,"[('manyusersinteractwithmobiledevicessuchassmartphones', 0.6406), ('cellularorotherwirelesstechnologies', 0.5753), ('devicesthatarereplacingdesktopandlaptopcomputersystems', 0.5268), ('somecomputershavelittleornouserview', 0.5116), ('turnindicatorlightsonorofftoshowstatus', 0.4865)]","['manyusersinteractwithmobiledevicessuchassmartphones', 'cellularorotherwirelesstechnologies', 'devicesthatarereplacingdesktopandlaptopcomputersystems', 'somecomputershavelittleornouserview', 'turnindicatorlightsonorofftoshowstatus']"
2,1.2 Computer-System Organization,35,1.1 What Operating Systems Do,"[('purposecomputersystemconsistsofoneormore', 0.5303), ('fullyexplainoperatingsystemdesignand', 0.4597), ('acorekernelalongwithmiddlewarethatsupportsdatabases', 0.456), ('thedevicecontrollerscanexecuteinparallel', 0.4544), ('restoftheoperatingsystemwithauniforminterfacetothedevice', 0.4417)]","['purposecomputersystemconsistsofoneormore', 'fullyexplainoperatingsystemdesignand', 'acorekernelalongwithmiddlewarethatsupportsdatabases', 'thedevicecontrollerscanexecuteinparallel']"
3,1.2.1 Interrupts,36,1.2 Computer-System Organization,"[('consideratypicalcomputeroperation', 0.5126), ('interruptsareanimportantpartofacomputerarchitecture', 0.4652), ('thecontrollerstartsthetransferofdatafromthedevicetoitslocal', 0.4549), ('operatingsystemsandhardware', 0.4398), ('eachcomputer', 0.4391)]","['consideratypicalcomputeroperation', 'interruptsareanimportantpartofacomputerarchitecture', 'thecontrollerstartsthetransferofdatafromthedevicetoitslocal']"
3,1.2.2 Storage Structure,39,1.2.1 Interrupts,"[('interruptsareusedthroughoutmodernoperatingsystemsto', 0.4218), ('devicecontrollersandhardwarefaultsraiseinterrupts', 0.4107), ('mainmemorycommonlyisimplementedin', 0.3918), ('intel', 0.3635), ('callyerasableprogrammableread', 0.3616)]",[]
3,1.2.3 I/O Structure,42,1.2.2 Storage Structure,"[('weneedtoemphasizeaparticulartypeofelectricalstoragedevice', 0.6438), ('volatilestoragewillbereferredtosimplyas', 0.6216), ('withsmallerandfastermemoryclosertothe', 0.5734), ('afewexamplesofsuchstoragesystemsare', 0.5668), ('losesitscontentswhenthepowertothedeviceisremoved', 0.5584)]","['weneedtoemphasizeaparticulartypeofelectricalstoragedevice', 'volatilestoragewillbereferredtosimplyas', 'withsmallerandfastermemoryclosertothe', 'afewexamplesofsuchstoragesystemsare', 'losesitscontentswhenthepowertothedeviceisremoved']"
